sample_id,main_category,target_type,scenario_group,subscenario_desc,state_idlist,state_linkinfo,state_env,state_relativepath,state_tracker,expected_status,expected_ui_target_field,expected_ui_target_path,expected_execution_target_field,expected_execution_target_path,expected_tracker_status,target_file_relpath,target_file_exists_at_creation,sha256,lecmd_crosscheck,exiftool_crosscheck,system_output_status
CNEC_imhex-gui.exe,CONFLICTING,.exe,KHUSUS,"CONFLICTING | UI=idlist(PRESENT_EXISTS)->imhex-gui.exe | EXEC=linkinfo(PRESENT_LOCAL_EXISTS)->imhex-gui.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS tracker=PRESENT_INVALID | tracker=INVALID | outlier: idlist,tracker | grup: >=2 outlier (idlist,tracker) -> conflict/special",PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,ABSENT,ABSENT,PRESENT_INVALID,CONFLICTING,LinkTargetIDList,"C:\@shell32.dll,-21781\ImHex\imhex-gui.exe",LinkInfo,C:\Program Files\ImHex\imhex-gui.exe,PRESENT_INVALID,C:\Program Files\ImHex\imhex-gui.exe,TRUE,48c6a78fe02d541ac43dbda0d62e6c3145aa5aa3b1f7d3dbfed3ba6645499f54,MATCH,MATCH,CONFLICTING
CEEC_launcher.exe-002,CONSISTENT,.exe,TRACKER,"CONSISTENT | UI=idlist(PRESENT_EXISTS)->launcher.exe | EXEC=idlist(PRESENT_EXISTS)->launcher.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS relative=PRESENT_EXISTS tracker=PRESENT_INVALID | tracker=INVALID | outlier: relative,tracker | grup: >=2 outlier (relative,tracker) -> consistent/special",PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,ABSENT,PRESENT_EXISTS,PRESENT_INVALID,CONFLICTING,LinkTargetIDList,D:\game\hsr\HoYoPlay\launcher.exe,LinkTargetIDList,D:\game\hsr\HoYoPlay\launcher.exe,PRESENT_INVALID,D:\game\hsr\HoYoPlay\launcher.exe,TRUE,1cc7d2e031dbd9a25ff13528f5c6bf8909bc9e2b7b73d38fc3384376c2e0c3a1,MATCH,SKIP,CONFLICTING
CEEC_LECmd.exe,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->LECmd.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->LECmd.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS env=PRESENT_NORMAL_NOT_FOUND relative=PRESENT_EXISTS tracker=PRESENT_VALID_MOUNT_MATCH | tracker=MOUNT_MATCH | outlier: relative | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,PRESENT_NORMAL_NOT_FOUND,PRESENT_EXISTS,PRESENT_VALID_MOUNT_MATCH,CONSISTENT,EnvironmentVariableDataBlock,D:\source\LECmd\LECmd.exe,EnvironmentVariableDataBlock,D:\source\LECmd\LECmd.exe,PRESENT_VALID_MOUNT_MATCH,D:\source\LECmd\LECmd.exe,TRUE,8921ec5677a0ee0d57f5e1775747ca4743c6e6603c986a74c0ff79e64009873b,SKIP,SKIP,CONSISTENT
CEEC_LiveCaptions.exe,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->LiveCaptions.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->LiveCaptions.exe | fields: env=PRESENT_NORMAL_NOT_FOUND | outlier: - | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,ABSENT,ABSENT,PRESENT_NORMAL_NOT_FOUND,ABSENT,NO_TRACKER,CONSISTENT,EnvironmentVariableDataBlock,C:\WINDOWS\system32\LiveCaptions.exe,EnvironmentVariableDataBlock,C:\WINDOWS\system32\LiveCaptions.exe,NO_TRACKER,C:\WINDOWS\system32\LiveCaptions.exe,TRUE,2597b425cdfc1d38840ed68310b9f100dd5cc2d4dc585140ab87fbae282b4fac,SKIP,SKIP,CONSISTENT
CEEC_magnify.exe,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->magnify.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->magnify.exe | fields: env=PRESENT_NORMAL_NOT_FOUND | outlier: - | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,ABSENT,ABSENT,PRESENT_NORMAL_NOT_FOUND,ABSENT,NO_TRACKER,CONSISTENT,EnvironmentVariableDataBlock,C:\WINDOWS\system32\magnify.exe,EnvironmentVariableDataBlock,C:\WINDOWS\system32\magnify.exe,NO_TRACKER,C:\WINDOWS\system32\magnify.exe,TRUE,28e66bf0d21fce9b1b78bfe8aba00bcb47e2fb8a9ef903130ab914f971be98a8,SKIP,SKIP,CONSISTENT
CEEC_MFTECmd.exe,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->MFTECmd.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->MFTECmd.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS env=PRESENT_NORMAL_NOT_FOUND relative=PRESENT_EXISTS tracker=PRESENT_VALID_MOUNT_MATCH | tracker=MOUNT_MATCH | outlier: relative | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,PRESENT_NORMAL_NOT_FOUND,PRESENT_EXISTS,PRESENT_VALID_MOUNT_MATCH,CONSISTENT,EnvironmentVariableDataBlock,D:\source\MFTECmd\MFTECmd.exe,EnvironmentVariableDataBlock,D:\source\MFTECmd\MFTECmd.exe,PRESENT_VALID_MOUNT_MATCH,D:\source\MFTECmd\MFTECmd.exe,TRUE,991d144be2e0c2ea1f6ec182accb4e096b7c21432c661d72928c25b3331c5c24,SKIP,SKIP,CONSISTENT
CEEC_MFTExplorer.exe,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->MFTExplorer.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->MFTExplorer.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS env=PRESENT_NORMAL_NOT_FOUND relative=PRESENT_EXISTS tracker=PRESENT_VALID_MOUNT_MATCH | tracker=MOUNT_MATCH | outlier: relative | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,PRESENT_NORMAL_NOT_FOUND,PRESENT_EXISTS,PRESENT_VALID_MOUNT_MATCH,CONSISTENT,EnvironmentVariableDataBlock,D:\source\MFTExplorer\MFTExplorer\MFTExplorer.exe,EnvironmentVariableDataBlock,D:\source\MFTExplorer\MFTExplorer\MFTExplorer.exe,PRESENT_VALID_MOUNT_MATCH,D:\source\MFTExplorer\MFTExplorer\MFTExplorer.exe,TRUE,8a2ad549b2d558db403c01a180820b188195d3a84c4c84b25b2c64e8474932d8,SKIP,SKIP,CONSISTENT
CEEC_narrator.exe,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->narrator.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->narrator.exe | fields: env=PRESENT_NORMAL_NOT_FOUND | outlier: - | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,ABSENT,ABSENT,PRESENT_NORMAL_NOT_FOUND,ABSENT,NO_TRACKER,CONSISTENT,EnvironmentVariableDataBlock,C:\WINDOWS\system32\narrator.exe,EnvironmentVariableDataBlock,C:\WINDOWS\system32\narrator.exe,NO_TRACKER,C:\WINDOWS\system32\narrator.exe,TRUE,866f8c3dc8fd95def902cc315ca055e796be1c2819b1a9586a2d390f690f7b18,SKIP,SKIP,CONSISTENT
CEEC_obs64.exe,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->obs64.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->obs64.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS env=PRESENT_NORMAL_NOT_FOUND relative=PRESENT_EXISTS tracker=PRESENT_VALID_MOUNT_MATCH | tracker=MOUNT_MATCH | outlier: relative | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,PRESENT_NORMAL_NOT_FOUND,PRESENT_EXISTS,PRESENT_VALID_MOUNT_MATCH,CONSISTENT,EnvironmentVariableDataBlock,D:\source\obs-studio\bin\64bit\obs64.exe,EnvironmentVariableDataBlock,D:\source\obs-studio\bin\64bit\obs64.exe,PRESENT_VALID_MOUNT_MATCH,D:\source\obs-studio\bin\64bit\obs64.exe,TRUE,96f9370876e09b1121f2d05a149512d16dea4f0f07fe719e245bb3ff9173a707,SKIP,SKIP,CONSISTENT
CEEC_OemDrv.exe-001,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->OemDrv.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->OemDrv.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS env=PRESENT_NORMAL_NOT_FOUND relative=PRESENT_EXISTS tracker=PRESENT_VALID_MOUNT_MATCH | tracker=MOUNT_MATCH | outlier: relative | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,PRESENT_NORMAL_NOT_FOUND,PRESENT_EXISTS,PRESENT_VALID_MOUNT_MATCH,CONSISTENT,EnvironmentVariableDataBlock,D:\source\software mnk\DAXA AIR IV Gen2\OemDrv.exe,EnvironmentVariableDataBlock,D:\source\software mnk\DAXA AIR IV Gen2\OemDrv.exe,PRESENT_VALID_MOUNT_MATCH,D:\source\software mnk\DAXA AIR IV Gen2\OemDrv.exe,TRUE,9464931876fa74cca97eeab9f9d58b4635360015fd022dd55ea57e9f32f1d1e7,SKIP,SKIP,CONSISTENT
CEEC_osk.exe,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->osk.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->osk.exe | fields: env=PRESENT_NORMAL_NOT_FOUND | outlier: - | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,ABSENT,ABSENT,PRESENT_NORMAL_NOT_FOUND,ABSENT,NO_TRACKER,CONSISTENT,EnvironmentVariableDataBlock,C:\WINDOWS\system32\osk.exe,EnvironmentVariableDataBlock,C:\WINDOWS\system32\osk.exe,NO_TRACKER,C:\WINDOWS\system32\osk.exe,TRUE,0a14336150d8750543e072700586d2acef25562f26a8d6ba0e17313e3f743097,SKIP,SKIP,CONSISTENT
CEEC_osu!.exe,CONSISTENT,.exe,TRACKER,CONSISTENT | UI=idlist(PRESENT_NOT_FOUND)->osu!.exe | EXEC=idlist(PRESENT_NOT_FOUND)->osu!.exe | fields: idlist=PRESENT_NOT_FOUND linkinfo=PRESENT_NETWORK tracker=PRESENT_INVALID | tracker=INVALID | outlier: tracker | grup: UI=EXEC=idlist (field UI juga yang dieksekusi) -> consistent/idlist,PRESENT_NOT_FOUND,PRESENT_NETWORK,ABSENT,ABSENT,PRESENT_INVALID,CONFLICTING,LinkTargetIDList,C:\Users\yobel\AppData\Local\osu!\osu!.exe,LinkTargetIDList,C:\Users\yobel\AppData\Local\osu!\osu!.exe,PRESENT_INVALID,C:\Users\yobel\AppData\Local\osu!\osu!.exe,TRUE,f9a513334ea952bf9d0788c9d676e85ce4ddd055b80a51ca4bb9e4df8c6072b7,MATCH,SKIP,CONFLICTING
CEEC_Postman.exe,CONSISTENT,.exe,TRACKER,CONSISTENT | UI=idlist(PRESENT_NOT_FOUND)->Postman.exe | EXEC=idlist(PRESENT_NOT_FOUND)->Postman.exe | fields: idlist=PRESENT_NOT_FOUND linkinfo=PRESENT_NETWORK tracker=PRESENT_INVALID | tracker=INVALID | outlier: tracker | grup: UI=EXEC=idlist (field UI juga yang dieksekusi) -> consistent/idlist,PRESENT_NOT_FOUND,PRESENT_NETWORK,ABSENT,ABSENT,PRESENT_INVALID,CONFLICTING,LinkTargetIDList,C:\Users\yobel\AppData\Local\Postman\Postman.exe,LinkTargetIDList,C:\Users\yobel\AppData\Local\Postman\Postman.exe,PRESENT_INVALID,C:\Users\yobel\AppData\Local\Postman\Postman.exe,TRUE,50b418ab5a388417c4ea22000e4d8269628f80a686cc20dc185dbf671f507c83,MATCH,SKIP,CONFLICTING
CEEC_python.exe,CONSISTENT,.exe,TRACKER,CONSISTENT | UI=idlist(PRESENT_NOT_FOUND)->python.exe | EXEC=idlist(PRESENT_NOT_FOUND)->python.exe | fields: idlist=PRESENT_NOT_FOUND linkinfo=PRESENT_NETWORK tracker=PRESENT_INVALID | tracker=INVALID | outlier: tracker | grup: UI=EXEC=idlist (field UI juga yang dieksekusi) -> consistent/idlist,PRESENT_NOT_FOUND,PRESENT_NETWORK,ABSENT,ABSENT,PRESENT_INVALID,CONFLICTING,LinkTargetIDList,C:\Users\yobel\AppData\Local\Programs\Python\Python313\python.exe,LinkTargetIDList,C:\Users\yobel\AppData\Local\Programs\Python\Python313\python.exe,PRESENT_INVALID,C:\Users\yobel\AppData\Local\Programs\Python\Python313\python.exe,TRUE,ca3ceae615fad91f7f93699fcebb016ab8e6e9f38441f0706d74c06e98e99dd3,MATCH,SKIP,CONFLICTING
CEEC_python.exe-001,CONSISTENT,.exe,TRACKER,CONSISTENT | UI=idlist(PRESENT_NOT_FOUND)->python.exe | EXEC=idlist(PRESENT_NOT_FOUND)->python.exe | fields: idlist=PRESENT_NOT_FOUND linkinfo=PRESENT_NETWORK tracker=PRESENT_INVALID | tracker=INVALID | outlier: tracker | grup: UI=EXEC=idlist (field UI juga yang dieksekusi) -> consistent/idlist,PRESENT_NOT_FOUND,PRESENT_NETWORK,ABSENT,ABSENT,PRESENT_INVALID,CONFLICTING,LinkTargetIDList,C:\Users\yobel\AppData\Local\Programs\Python\Python313\python.exe,LinkTargetIDList,C:\Users\yobel\AppData\Local\Programs\Python\Python313\python.exe,PRESENT_INVALID,C:\Users\yobel\AppData\Local\Programs\Python\Python313\python.exe,TRUE,59a8ae55e07240f2f0f1ddb45da9e6ae4cfc1fd43e5a1f8ec46447bd11ccc70e,MATCH,SKIP,CONFLICTING
CEEC_Rainmeter.exe,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->Rainmeter.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->Rainmeter.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS env=PRESENT_NORMAL_NOT_FOUND relative=PRESENT_EXISTS tracker=PRESENT_VALID_MOUNT_MATCH | tracker=MOUNT_MATCH | outlier: relative | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,PRESENT_NORMAL_NOT_FOUND,PRESENT_EXISTS,PRESENT_VALID_MOUNT_MATCH,CONSISTENT,EnvironmentVariableDataBlock,D:\source\rainmeter\Rainmeter.exe,EnvironmentVariableDataBlock,D:\source\rainmeter\Rainmeter.exe,PRESENT_VALID_MOUNT_MATCH,D:\source\rainmeter\Rainmeter.exe,TRUE,798b418fad1a5a3d532f02257c3f24ab2e3aef1b006cfc48b1f96c09ebdfcc8a,SKIP,SKIP,CONSISTENT
CNEC_ONENOTEM.EXE,CONFLICTING,.exe,KHUSUS,"CONFLICTING | UI=idlist(PRESENT_EXISTS)->ONENOTEM.EXE | EXEC=linkinfo(PRESENT_LOCAL_EXISTS)->ONENOTEM.EXE | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS tracker=PRESENT_INVALID | tracker=INVALID | outlier: idlist,tracker | grup: >=2 outlier (idlist,tracker) -> conflict/special",PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,ABSENT,ABSENT,PRESENT_INVALID,CONFLICTING,LinkTargetIDList,"C:\@shell32.dll,-21781\Microsoft Office\root\Office16\ONENOTEM.EXE",LinkInfo,C:\Program Files\Microsoft Office\root\Office16\ONENOTEM.EXE,PRESENT_INVALID,C:\Program Files\Microsoft Office\root\Office16\ONENOTEM.EXE,TRUE,799051d5285eeec0735790a5e562a12cff03eedf17593f264b2922b4ed59ad86,MATCH,MATCH,CONFLICTING
CEEC_Spotify.exe,CONSISTENT,.exe,TRACKER,CONSISTENT | UI=idlist(PRESENT_NOT_FOUND)->Spotify.exe | EXEC=idlist(PRESENT_NOT_FOUND)->Spotify.exe | fields: idlist=PRESENT_NOT_FOUND linkinfo=PRESENT_NETWORK tracker=PRESENT_INVALID | tracker=INVALID | outlier: tracker | grup: UI=EXEC=idlist (field UI juga yang dieksekusi) -> consistent/idlist,PRESENT_NOT_FOUND,PRESENT_NETWORK,ABSENT,ABSENT,PRESENT_INVALID,CONFLICTING,LinkTargetIDList,C:\Users\yobel\AppData\Roaming\Spotify\Spotify.exe,LinkTargetIDList,C:\Users\yobel\AppData\Roaming\Spotify\Spotify.exe,PRESENT_INVALID,C:\Users\yobel\AppData\Roaming\Spotify\Spotify.exe,TRUE,762c4b6ca791063fc6e9367bb6c71ddd71782de002e03ef720957d0787ef8ba9,MATCH,SKIP,CONFLICTING
